seconds_since_2019_07_04_utc,magnitude,event_id
61375.340,3.98,ci38443095
63229.000,6.4,ci38443183
63301.660,4.49,ci38443191
63317.430,3.93,ci37255940
63346.340,3.63,ci37222356
63352.170,4.28,ci37218988
63364.360,3.94,ci37255980
63418.950,3.41,ci37222380
63421.140,3.66,ci37222372
63434.850,3.97,ci37222364
63445.640,4.01,ci37218996
63466.320,3.24,ci37259580
63475.500,3.86,ci38443199
63501.450,3.73,ci37421941
63527.500,3.5,us70004a0n
63527.760,3.5,ci37222396
63537.260,3.43,ci37256196
63545.120,3.25,ci37259588
63554.620,2.98,ci37259612
63573.310,3.11,ci37222404
63575.360,3.69,ci38443215
63591.740,3.11,ci37259660
63602.250,3.8,ci38443223
63618.520,4.13,ci38443231
63634.900,3.54,ci37222508
63646.140,3.42,ci37222516
63651.720,3.13,ci37259692
63680.850,3.3,ci37421957
63774.130,3.22,ci38443239
63809.200,3.6,us70004a0z
63864.020,2.77,ci37421981
63872.820,3.86,ci38443255
63905.780,3.03,ci37421997
63923.950,3.03,ci37421989
63928.630,3.21,ci37222524
63963.710,2.96,ci38443263
63980.320,2.56,ci37222532
64009.960,3.07,ci38443271
64037.810,3.5,ci38443279
64060.970,3.11,ci37222548
64074.970,3.4,ci37222556
64083.160,3.27,ci37222564
64095.680,3.11,ci37222572
64104.150,2.96,ci37222580
64175.190,2.52,ci37222596
64178.950,2.57,ci37222668
64248.290,2.73,ci37222692
64248.960,2.79,ci38443303
64306.650,3.46,ci38443287
64361.700,2.92,ci38443295
64499.560,2.53,ci38443327
64530.800,2.57,ci37222876
64651.460,2.95,ci38443311
64663.060,2.78,ci37222932
64682.640,3.33,ci38443319
64840.190,2.67,ci38443335
64861.190,2.59,ci37223148
64883.180,3.53,ci37422005
64891.230,3.42,ci37223156
64974.110,2.53,ci38443351
64998.590,2.85,ci38443359
65141.830,2.76,ci38443375
65155.910,2.61,ci37223228
65176.110,3.79,ci38443383
65211.050,2.6,ci37223236
65229.270,3.51,ci38443391
65230.910,3.49,ci37223244
65240.290,3.02,ci37259964
65270.810,2.55,ci37223252
65313.160,3.38,ci38443407
65325.070,3.55,ci37223308
65432.710,3.46,ci38443415
65482.870,2.69,ci38443423
65572.070,3.44,ci38443431
65625.530,2.89,ci37223380
65631.400,3.5,ci38443439
65704.970,2.75,ci38443447
65712.820,3.23,ci37420701
65793.730,2.94,ci38443463
65835.320,2.87,ci38443471
65925.720,3.38,ci38443487
65932.070,2.98,ci37223676
65948.090,2.6,ci37223684
66085.340,2.61,ci38443495
66363.750,3.13,ci38443519
66446.770,3.29,ci38443527
66479.440,4.23,ci38443535
66523.640,3.75,ci38443543
66889.010,2.59,ci37224604
66950.890,2.98,ci37229300
67051.680,2.63,ci38443591
67125.630,2.58,ci37229572
67184.440,4.59,ci38443607
67256.740,3.05,ci37224612
67274.270,3.07,ci38443615
67465.000,3.09,ci38443631
67626.590,4.34,ci38443647
67642.600,4.02,ci37421213
67664.310,3.33,ci37230556
67679.170,3.22,ci37230564
67695.850,2.89,ci37230580
67807.150,2.75,ci38443663
67815.910,3.7,ci38443671
67933.620,2.78,ci38443679
67977.560,2.85,ci37230844
67983.340,3.08,ci37230836
68007.670,3.36,ci38443695
68053.990,4.07,ci38443703
68099.090,2.86,ci37230868
68127.680,3.03,ci38443711
68166.420,4.58,ci38443719
68182.030,4.21,ci37420717
68220.850,2.89,ci37230996
68235.610,3.22,ci37230948
68262.060,2.96,ci37230908
68272.440,2.71,ci37230916
68287.890,2.79,ci38443727
68409.670,3.22,ci38443751
68414.000,3.14,ci37231484
68466.360,2.67,ci37231516
68470.800,3.03,ci38443759
68488.380,2.56,ci37231532
68544.820,2.67,ci37231540
69019.820,3.29,ci38443823
69299.490,3,ci38443831
69471.360,2.98,ci38443855
69478.140,3.26,ci37224620
69651.760,2.76,ci38443863
69692.090,4.5,ci38443871
69980.380,2.72,ci38443879
70038.260,2.82,ci38443895
70789.720,2.7,ci38443983
70808.090,2.53,ci37232916
70829.120,2.67,ci38443991
71344.980,3.26,ci38444047
71476.980,3.35,ci38444063
71533.050,2.86,ci38444071
71760.500,4.16,ci38444103
71785.890,3.27,ci37260124
71880.290,2.63,ci38444119
72071.160,2.56,ci37420685
72092.930,2.5,ci38444135
72257.610,2.58,ci37233108
72368.250,3.39,ci38444159
72482.990,2.52,ci37233404
72691.440,2.6,ci38444191
72890.340,3.99,ci38444215
73056.830,3.09,ci38444231
73389.930,3.43,ci38444263
74072.050,2.62,ci38444311
74726.710,3.1,ci38444407
75325.070,3.4,ci38444487
75432.360,2.57,ci38444503
75775.820,3.47,ci38444543
76028.530,2.62,ci38444559
76995.060,2.81,ci38444687
77195.000,2.98,ci38444719
77566.250,2.65,ci38444783
77614.350,3.15,ci38444791
78033.420,3.44,ci38444823
78119.890,2.82,ci38444847
78368.500,2.6,ci37235828
78424.370,3.25,ci38444903
79355.060,3.44,ci38445015
79503.210,2.78,ci38445039
79522.270,3.56,ci37225444
79928.490,4.43,ci38445087
80946.570,2.6,ci38445183
81007.800,2.51,ci38445199
81016.100,2.85,ci38445207
81741.780,3.23,ci38445295
83230.710,2.57,ci38445463
83560.400,3.53,ci38445495
83585.010,3.04,ci38445503
84840.630,3.82,ci37420973
84842.380,4.04,ci38445703
85353.830,3.72,ci38445751
86076.390,3.39,ci38445839
87245.750,2.79,ci38445935
87481.410,4.04,ci38445975
88128.990,2.8,ci38446031
88326.670,4.02,ci38446071
88399.630,2.59,ci38446079
89139.460,3.85,ci38446159
89380.920,2.52,ci38446175
90533.450,3.11,ci38446343
91093.420,3.21,ci38446391
93487.290,2.73,ci38446615
93701.150,3.25,ci38446639
93719.010,3.98,ci38446647
93919.180,3.4,ci38446671
94431.870,2.63,ci38446767
94781.890,3.26,ci38446807
95035.740,2.75,ci38446831
97189.900,2.81,ci38447047
97273.280,2.76,ci38447055
98118.700,3.24,ci38447143
98393.570,3.41,ci38447191
98493.020,2.56,ci38447207
98720.630,2.55,ci38447231
99972.700,2.58,ci38447383
100014.410,3.14,ci38447391
